ID,Predictions
1,4
10,3
100,3
101,1
102,3
103,3
104,3
105,2
106,3
107,2
108,3
109,5
11,3
110,1
111,2
112,3
113,4
114,3
115,3
116,3
117,3
118,4
119,5
12,3
120,3
121,5
122,1
123,2
124,4
125,1
126,5
127,1
128,1
129,5
13,4
130,2
131,4
132,5
133,5
134,3
135,3
136,4
137,4
138,4
139,3
14,3
140,4
141,2
142,3
143,2
144,4
145,1
146,5
147,5
148,4
149,3
15,1
150,2
151,4
152,2
153,2
154,1
155,3
156,1
157,4
158,1
159,4
16,5
160,4
161,5
162,3
163,5
164,5
165,1
166,3
167,4
168,2
169,5
17,3
170,4
171,5
172,1
173,3
174,2
175,2
176,2
177,3
178,3
179,3
18,3
180,1
181,4
182,4
183,3
184,1
185,1
186,3
187,5
188,3
189,4
19,4
190,1
191,3
192,4
193,3
194,3
195,3
196,4
197,3
198,4
199,3
2,3
20,3
200,4
201,5
202,4
203,4
204,4
205,4
206,5
207,4
208,4
209,5
21,5
210,4
211,4
212,3
213,3
214,2
215,1
216,2
217,4
218,3
219,1
22,4
220,1
221,3
222,2
223,1
224,4
225,5
226,2
227,5
228,5
229,2
23,2
230,2
231,4
232,3
233,5
234,2
235,5
236,3
237,4
238,5
239,1
24,1
240,3
241,4
242,3
243,3
244,1
245,3
246,5
247,3
248,1
249,3
25,3
250,3
251,2
252,4
253,2
254,1
255,4
256,5
257,3
258,5
259,2
26,4
260,4
261,4
262,2
263,3
264,4
265,4
266,3
267,1
268,5
269,5
27,5
270,3
271,2
272,2
273,2
274,4
275,1
276,2
277,3
278,4
279,1
28,4
280,5
281,3
282,5
283,3
284,3
285,2
286,3
287,3
288,1
289,2
29,3
290,3
291,4
292,4
293,4
294,4
295,2
296,4
297,5
298,5
299,3
3,5
30,2
300,1
301,2
302,4
303,3
304,2
305,3
306,4
307,3
308,4
309,1
31,4
310,5
311,4
312,3
313,4
314,1
315,3
316,3
317,3
318,5
319,1
32,3
320,5
321,2
322,2
323,1
324,4
325,3
326,4
327,4
328,5
329,4
33,5
330,5
331,5
332,5
333,1
334,3
335,1
336,3
337,3
338,4
339,2
34,3
340,3
341,3
342,5
343,4
344,4
345,3
346,1
347,4
348,4
349,1
35,2
350,2
351,5
352,3
353,5
354,4
355,5
356,4
357,1
358,2
359,3
36,1
360,2
361,4
362,5
363,2
364,3
365,2
366,3
367,1
368,1
369,1
37,2
370,2
371,1
372,5
373,3
374,4
375,5
376,4
377,4
378,3
379,2
38,4
380,2
381,5
382,5
383,5
384,5
385,1
386,3
387,4
388,3
389,2
39,4
390,4
391,3
392,5
393,4
394,3
395,3
396,1
397,2
398,5
399,1
4,2
40,3
400,1
401,4
402,3
403,4
404,3
405,1
406,4
407,3
408,2
409,2
41,4
410,4
411,4
412,4
413,5
414,1
415,2
416,4
417,3
418,5
419,2
42,4
420,5
421,3
422,4
423,4
424,4
425,3
426,2
427,5
428,5
429,4
43,2
430,5
431,3
432,3
433,1
434,4
435,4
436,3
437,2
438,2
439,5
44,2
440,2
441,1
442,5
443,4
444,4
445,4
446,3
447,2
448,1
449,2
45,3
450,1
451,3
452,4
453,3
454,3
455,3
456,4
457,2
458,4
459,1
46,4
460,5
461,2
462,1
463,4
464,2
465,3
466,1
467,4
468,3
469,3
47,4
470,3
471,2
472,4
473,4
474,4
475,4
476,3
477,2
478,3
48,3
49,5
5,2
50,4
51,3
52,3
53,2
54,1
55,4
56,2
57,2
58,4
59,3
6,4
60,2
61,4
62,2
63,5
64,2
65,1
66,3
67,2
68,2
69,3
7,4
70,2
71,5
72,4
73,2
74,4
75,4
76,1
77,2
78,1
79,4
8,3
80,2
81,3
82,1
83,4
84,1
85,4
86,5
87,4
88,4
89,3
9,3
90,2
91,3
92,3
93,4
94,1
95,5
96,1
97,4
98,4
99,4
